127.0.0.1 - - [08/Dec/2024:20:15:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:15:13 +0530] "GET /FoodApplication/register.jsp HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:15:13 +0530] "GET /FoodApplication/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:15:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:15:47 +0530] "POST /FoodApplication/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:15:47 +0530] "GET /FoodApplication/login.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:15:58 +0530] "POST /FoodApplication/Login HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:16:12 +0530] "GET /FoodApplication/register.jsp HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:16:20 +0530] "POST /FoodApplication/Register HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:16:26 +0530] "POST /FoodApplication/Register HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:16:30 +0530] "POST /FoodApplication/Register HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:05 +0530] "POST /FoodApplication/Register HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:08 +0530] "POST /FoodApplication/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:08 +0530] "GET /FoodApplication/register.jsp HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:17 +0530] "POST /FoodApplication/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:17 +0530] "GET /FoodApplication/register.jsp HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:20 +0530] "POST /FoodApplication/Register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:20 +0530] "GET /FoodApplication/login.jsp HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:24 +0530] "POST /FoodApplication/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:24 +0530] "GET /FoodApplication/GetAllRestaurants HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2024:20:17:24 +0530] "GET /FoodApplication/home.jsp HTTP/1.1" 200 2170
